region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
34040,아산시,충남,시,True,64,II,35.8301487313555,33.421612249544346,54.46428571428572,37.73441875674012,41.873438906856734,73.95836454117898,26.33760771749455,44.04761904761904,36.60261910124797,45.0,87,2.54,8
25030,서구,대전,구,False,65,II,33.87694786683767,27.38511151603252,56.238977072310405,38.387525827771896,40.67053813870493,73.7320642052861,32.546614431482766,19.642857142857142,31.531308801316115,35.0,46,0.96,9
23070,계양구,인천,구,False,66,II,30.80547082196476,27.00865174135886,57.37654320987654,32.27852798250915,38.88790764458152,73.48517223359914,30.33187988639175,22.02380952380952,24.51952783342132,25.0,50,1.74,20
24020,서구,광주,구,False,67,II,33.189808124363815,23.523519569405224,55.23589065255732,40.981499413276566,39.9136365450797,73.3187324828978,28.491580234722992,16.071428571428573,25.83037497295465,25.0,40,1.4,18
25010,동구,대전,구,False,68,II,38.19887596139169,28.600713943183983,57.705026455026456,40.72556921750569,42.34376987190538,73.24433189120953,34.175793079909816,20.23809523809524,32.7997622104884,35.0,47,2.1,9
25020,중구,대전,구,True,69,II,37.017061145219074,28.623040092310333,54.07848324514991,41.55498051160304,41.41883461635442,72.91030404374489,33.81617793162833,20.833333333333336,51.79950163506504,70.0,48,2.14,10
25050,대덕구,대전,구,False,70,II,32.76199152293086,27.181349210409312,50.68342151675485,39.33130087828531,39.06535720181649,72.68436144035105,31.81018519195203,20.23809523809524,29.288547352969942,35.0,47,2.72,10
22010,중구,대구,구,False,71,II,36.54266325936656,41.27337205155439,55.302028218694886,25.377974937776568,40.65112506934195,72.37979343965867,34.265143895447785,51.78571428571429,14.466689398248546,12.5,100,11.24,0
24010,동구,광주,구,True,72,II,34.729383560955604,21.445257262515387,50.99206349206349,46.075240482159664,39.50418707891285,72.13949529843505,35.74209543752565,0.0,51.33436293994524,65.0,13,1.24,11
34070,계룡시,충남,시,True,73,II,31.94504785181607,20.584372214855115,56.00749559082893,36.69621751025449,37.76269510531285,71.79017117940481,22.005699723171222,18.452380952380956,52.748533522357896,45.0,44,10.0,7
22320,군위군,대구,군,True,74,II,40.332196485921806,38.87121949585519,48.40819106169983,37.7404478096348,41.67328612239661,71.5071878794357,27.880603921663404,55.35714285714286,23.24690509659733,25.0,106,46.09,0
23030,미추홀구,인천,구,False,75,II,42.7510945968013,31.82277058289708,61.9796196331284,34.726831068808586,42.84307376161136,71.4675264632107,32.799855733399895,30.35714285714285,24.41673383858105,25.0,64,1.64,9
33350,진천군,충북,군,True,76,II,37.53283593247587,21.470501752617285,50.77160493827161,48.150658193264114,40.130921628051,71.36450366181306,25.06988387340976,16.071428571428573,41.821581780679,50.0,40,4.65,18
39010,제주시,제주,시,False,77,II,33.64993089287632,25.905149079986067,53.06437389770723,35.51554283182686,38.16168860317338,71.33672315673522,24.921280212675185,27.380952380952383,8.439591870643511,17.5,59,0.88,27
23020,동구,인천,구,True,78,II,34.53656595424148,19.415933813045037,60.07716049382715,35.870884860173746,38.45465972234864,71.1863767452279,25.613857942376644,10.11904761904762,41.27617669665288,65.0,30,5.0,12
26020,남구,울산,구,False,79,II,33.2962036254207,23.395015554013103,58.52072310405643,31.37084572029368,37.76219479278774,71.11409298007739,29.07105766938692,14.88095238095238,20.28117197911377,17.5,38,1.23,7
26010,중구,울산,구,False,80,II,35.15488115715504,29.17842667662814,54.894179894179885,31.698943544364088,38.59051670505737,71.01307612647985,27.59896509596753,31.547619047619047,25.443971607487143,17.5,66,3.13,12
21100,사하구,부산,구,False,81,I,47.85790100415908,53.81282808950441,45.62169312169313,35.28561957502436,44.9067135954073,70.97776309332775,23.021380149174018,100.0,19.454970812607066,15.0,181,6.09,0
24040,북구,광주,구,False,82,II,37.541552582172585,28.22557812078012,48.908730158730165,41.82838531270249,39.654231197404265,70.88345490631798,34.3442175028875,19.047619047619047,27.8332731944453,25.0,45,1.06,20
33370,음성군,충북,군,True,83,I,43.70816342448188,29.321158111368,46.21913580246913,52.03156099382157,42.52395163588624,70.6698699236453,25.85272383640698,34.523809523809526,39.11244288600629,50.0,71,7.8,0
24030,남구,광주,구,True,84,II,32.45571045218601,18.594201987842617,47.21119929453262,44.438340667960254,36.747913983445166,70.52005875735216,27.41890807497579,5.357142857142857,46.98032280122667,50.0,22,1.1,12
39020,서귀포시,제주,시,False,85,II,33.29830158715125,23.096878037535834,51.135361552028215,36.66309200739481,36.96511053231962,70.315959738744,20.24082847525813,27.380952380952383,6.289308176100629,17.5,59,0.88,27
26030,동구,울산,구,False,86,II,31.37272361867465,20.834886391459744,50.110229276895936,36.55752298577372,35.83421288470981,70.14785107537247,26.39147731909957,12.5,23.90066349017483,17.5,34,2.24,7
