region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
26310,울주군,울산,군,False,64,II,33.89692612361956,24.872730925714485,56.21984722594479,45.41355148602932,42.16870987922953,75.22024681741975,34.311694400000334,10.714285714285714,35.21055313022832,35.0,31,1.4,4
24020,서구,광주,구,False,65,II,29.268439828449043,24.895352134617703,50.67843741624229,43.91973518170101,39.83117491085367,75.19695499662915,30.77796784341046,16.071428571428573,43.45978958350135,50.0,40,1.4,18
23320,옹진군,인천,군,False,66,II,41.94578056750127,31.123333286722712,58.63508442776735,48.57664989717703,46.11168920388903,75.1387989201384,41.95158722390293,14.88095238095238,64.90549679689707,50.0,38,18.1,13
22320,군위군,대구,군,True,67,II,34.124474991019376,39.46005453890953,48.99457663685306,38.11458101395667,42.189737396573086,75.1274999010634,28.86199566008732,55.35714285714286,25.491704322528637,25.0,106,46.09,0
23070,계양구,인천,구,False,68,II,27.86852948793267,29.839559064566977,50.70825515947468,35.216763750933595,38.58819265832508,74.65392791435875,35.050058758405285,22.02380952380952,42.148942443968,50.0,50,1.74,20
11100,도봉구,서울,구,True,69,II,34.39556208942082,26.32872648772448,53.9818413294023,44.99679436486599,41.76912072733092,74.5713396826205,29.59549652715985,21.428571428571427,14.28940393394714,5.0,49,1.66,27
25050,대덕구,대전,구,False,70,II,28.77349870642344,26.782011058805832,46.56258375770571,43.482244274511736,38.94227969700776,74.55553034379605,31.14462160594623,20.23809523809524,54.19420773032844,70.0,47,2.72,10
11110,노원구,서울,구,True,71,II,39.58225854547072,38.03232188295972,49.57283570088448,45.09499316148014,44.23338358177478,74.44225430903943,29.26021901128208,51.19047619047619,15.19976354813122,5.0,99,2.02,18
24010,동구,광주,구,True,72,II,28.78660656852961,22.514689121058563,48.0987000804074,45.65917855666378,38.75752258604325,74.36421930177845,37.52448186843094,0.0,48.837991386969904,50.0,13,1.24,11
23310,강화군,인천,군,False,73,II,40.86973979365411,34.8463664130167,53.66322701688554,45.35085035828968,44.62014792939731,74.18527803257025,42.99791227566276,22.61904761904762,51.60264680826964,50.0,51,7.29,10
21310,기장군,부산,군,False,74,II,41.65967388822536,29.342700249702563,59.339319217368,45.29431823145948,44.65877923284335,73.82894228873067,31.444182955853474,26.190476190476197,31.27382115986701,30.0,57,3.2,0
33350,진천군,충북,군,True,75,II,34.84061268520651,25.493735683820365,49.120544090056285,48.99245790298835,41.20224589228833,73.78193954968508,31.775273758748227,16.071428571428573,46.87238003902443,50.0,40,4.65,18
25010,동구,대전,구,False,76,II,35.98141635143615,28.20723538607801,50.83087644063254,44.876512613732096,41.304874813480886,73.31416663776281,33.5199954847332,20.23809523809524,57.7054225878469,70.0,47,2.1,9
24030,남구,광주,구,True,77,III,28.421607858718065,21.354524305831035,45.80038863575449,45.280140377684496,37.47835110642334,73.2675471770643,32.019445271623155,5.357142857142857,52.0311210595721,50.0,22,1.1,12
34040,아산시,충남,시,True,78,II,36.55050111358254,34.42931678338561,51.557893326186,38.48268516538389,41.48996509165183,73.21471453486056,28.017115273896657,44.04761904761904,41.09221755311057,45.0,87,2.54,8
22010,중구,대구,구,False,79,II,33.79403818355904,42.13384925818988,50.91128383811311,26.80032617144856,39.94848642258385,73.05146733080433,35.6992725731736,51.78571428571429,23.00079680028048,25.0,100,11.24,0
23050,남동구,인천,구,False,80,II,39.86549731679845,36.61429390691955,54.9296435272045,36.82424201799975,42.78939315070793,72.8566444923087,42.769854924231,27.380952380952383,39.84199816805268,50.0,59,1.17,0
25020,중구,대전,구,True,81,II,34.84582284445098,29.193785173445875,48.62637362637362,42.77091342564916,40.19702407515621,72.77411265293073,34.7674197335209,20.833333333333336,59.09509911934176,70.0,48,2.14,10
33370,음성군,충북,군,True,82,II,43.82560129200888,33.27220359272306,46.35318949343339,52.873360703545806,44.16625126323408,72.25345061722965,32.43779963866541,34.523809523809526,44.16324114435172,50.0,71,7.8,0
23060,부평구,인천,구,False,83,II,38.72644739331499,33.16336520273611,52.3968105065666,38.86248858357563,41.47422143095945,72.11099773430196,32.2564023220205,34.523809523809526,40.15784153647389,50.0,71,1.45,50
11090,강북구,서울,구,True,84,II,39.12952859186298,21.457229497277737,57.21823907799518,46.127020704564586,41.60082975994583,72.03606546401434,25.84141424149464,14.88095238095238,13.001641525926798,5.0,38,1.29,19
39020,서귀포시,제주,시,False,85,III,30.634804452891167,24.676764468609008,48.378450817475205,38.69179705496778,37.249004113684,71.93160188723841,22.873972527046757,27.380952380952383,18.461538461538463,35.0,59,0.88,27
34070,계룡시,충남,시,True,86,III,31.525554929426043,22.950656419612848,52.495979630125966,37.44448391889826,37.630373322879024,71.867595858166,25.949506731100783,18.452380952380956,57.238131974220494,45.0,44,10.0,7
33040,청주시,충북,시,True,87,II,36.24808399368455,37.505687215918456,46.07176360225141,35.483975519091054,39.687142112420304,71.56310011557802,35.12852631224505,41.07142857142857,55.95715153033139,50.0,82,0.96,13
23030,미추홀구,인천,구,False,88,II,40.62696180804967,32.076314749033884,55.78029092256735,37.66506683723304,41.84055750294476,71.52707659891992,33.22242934362791,30.35714285714285,42.04614844912774,50.0,64,1.64,9
39010,제주시,제주,시,False,89,II,35.195212864567104,30.276081612194552,49.55105869740016,37.54424787939983,39.12379606299818,71.52618963071463,32.206167766356,27.380952380952383,20.611822156081345,35.0,59,0.88,27
26030,동구,울산,구,False,90,III,28.4320003560907,21.089528774204148,46.79207987134816,38.58622803334669,35.48927889296633,71.27327871492099,26.815881290340247,12.5,36.07289377561266,35.0,34,2.24,7
24040,북구,광주,구,False,91,II,37.24517799647759,27.51424666526216,46.83228357008845,44.766621081126935,39.70438377215918,71.0817947739204,33.15866507702423,19.047619047619047,45.46268780499199,50.0,45,1.06,20
23020,동구,인천,구,True,92,III,30.277568672068277,20.14156563703252,52.3499061913696,35.45482293467786,35.98209825435999,70.84331391832586,26.82324431568912,10.11904761904762,38.77980514367755,50.0,30,5.0,12
26010,중구,울산,구,False,93,III,34.46058571221478,29.004415191302545,49.70014741356205,33.72764859193706,37.47740373226722,70.24711087615984,27.30894595375821,31.547619047619047,37.61620189292498,35.0,66,3.13,12
26020,남구,울산,구,False,94,III,32.121949724146006,22.94169759480124,51.904650227820966,33.39955076786665,36.08196619682962,70.02099133475662,28.31552773736714,14.88095238095238,32.453402264551606,35.0,38,1.23,7
34010,천안시,충남,시,True,95,III,32.77137190080793,22.46318608411508,49.58791208791208,36.61438836791205,36.22182884664641,69.83614289624245,25.533881568763228,17.857142857142858,54.131479322718505,45.0,43,0.65,16
34550,청양군,충남,군,True,96,II,37.150024820725335,20.44696842242057,43.6374337797102,50.34069269242561,38.14169829818547,69.5666858878228,22.967169592923177,16.666666666666664,84.61538461538461,45.0,41,13.67,11
34540,서천군,충남,군,True,97,II,38.62104444007205,25.213350783028265,43.6374337797102,45.95872880229352,38.269837788344,68.95931556830797,24.958759241555043,25.59523809523809,58.32360127459207,45.0,56,11.43,8
21100,사하구,부산,구,False,98,I,54.61800917421649,54.96765559220459,44.56445993031359,37.01114771564684,45.51442107938834,68.2054164922801,24.946092653674327,100.0,29.808139656341947,30.0,181,6.09,0
36590,강진군,전남,군,True,99,I,52.60643699171656,41.469204575388574,39.17314806542449,52.667019001174346,44.4364572139958,68.13323871813752,26.655023498663496,63.69047619047619,77.16340947595532,60.0,120,38.71,19
33520,보은군,충북,군,True,100,III,37.73125040410783,21.47222399162836,44.53029092256735,44.97480561209392,36.99244017542987,68.12681497337596,23.485452684459965,18.452380952380956,62.90213208834862,50.0,44,14.19,8
33390,증평군,충북,군,True,101,III,38.22143607507535,24.553311253178546,44.14868667917448,42.37460091995805,37.02553295077036,67.91481491323268,30.60472510450392,15.476190476190476,52.61006633633858,50.0,39,10.83,8
35520,진안군,전북,군,True,102,I,47.70474885706377,28.540325225002945,38.28029092256735,57.85705626181795,41.559224136462745,67.70684970793086,22.56720870833824,37.5,78.76618849963354,60.0,76,31.67,21
34580,태안군,충남,군,True,103,III,38.1439336779027,21.795856973575816,43.6374337797102,44.602426684927615,36.678572479404544,67.6066056404532,24.42166638453112,17.857142857142858,50.18578857039657,45.0,43,7.17,7
22050,북구,대구,구,False,104,I,46.37895551979562,42.29244456165423,51.70865719646208,27.741355102035868,40.58081895338406,67.39134119348626,35.56677268212212,52.38095238095239,22.952773191554567,25.0,101,2.38,0
34570,예산군,충남,군,True,105,III,39.12835208592299,21.83259564094824,43.6374337797102,45.28960558930811,36.91987833665552,67.35570229369402,27.26067527459627,13.690476190476192,54.3088619966796,45.0,36,4.74,7
33540,영동군,충북,군,True,106,III,38.41369997531208,18.94673548565117,44.53029092256735,45.96604513215166,36.48102384679006,67.27417385913402,23.244559142751957,12.5,68.84956920869504,50.0,34,7.91,6
33560,괴산군,충북,군,True,107,III,37.62512992716962,17.384727986682325,44.53029092256735,45.79918940544585,35.90473610489851,67.0921711413137,23.022165692089587,8.928571428571429,67.84843484846014,50.0,28,7.78,7
34080,당진시,충남,시,True,108,III,40.31231465787157,27.894781753280327,48.18078263200214,35.433231353609685,37.16959857963072,67.01344125069494,30.618287049118003,23.809523809523807,45.170616582489046,45.0,53,3.17,7
33530,옥천군,충북,군,True,109,III,38.266166629324815,19.52729444855236,44.53029092256735,43.636131543471,35.8979056381969,66.7648223235345,23.021681223777737,14.285714285714285,54.87008767661105,50.0,37,7.55,10
34510,금산군,충남,군,True,110,III,38.22330834358007,18.75752301244782,43.6374337797102,44.940280878784826,35.778412556980946,66.66675838519092,24.11968121122256,10.714285714285714,52.21291373353995,45.0,31,6.33,10
33580,단양군,충북,군,True,111,III,36.9564846456484,15.403927629772037,44.53029092256735,44.72182591376927,34.88534815536955,66.40710583254535,21.704958748032755,5.952380952380952,61.38425389840071,50.0,23,8.52,10
36580,장흥군,전남,군,True,112,I,52.884248321587314,34.64349069777839,39.17314806542449,54.38772995761983,42.73478957360757,66.29266541281392,22.42169084550366,52.97619047619048,87.48767521462823,60.0,102,32.9,20
34530,부여군,충남,군,True,113,III,38.8755610311027,17.435411438062083,43.6374337797102,45.909577026594455,35.66080741478891,66.22302689923757,22.709812714230456,9.523809523809524,58.02869062039768,45.0,29,4.83,6
35550,임실군,전북,군,True,114,I,48.03605180945623,24.386592456194634,38.28029092256735,57.58075813506603,40.082547171276,66.06452126654789,22.78717790318153,26.785714285714285,77.10839973912195,60.0,58,23.2,7
22060,수성구,대구,구,False,115,III,42.34360879890399,37.95901380112824,46.64299115518628,26.87766432405621,37.159889760123576,65.98808536067158,27.55073728759468,53.57142857142857,26.650601328952664,25.0,103,2.54,0
34360,홍성군,충남,군,True,116,III,43.56023223068924,23.46233788337589,44.61605467703029,44.473656864878144,37.5173498084281,65.73723369308348,29.58008694848364,14.285714285714285,53.56628917969522,45.0,37,3.85,6
21130,연제구,부산,구,False,117,I,46.13340501117555,29.2958348048711,51.36558563387832,35.5429196353521,38.734780024700505,65.66807751911273,27.000994516055005,32.73809523809524,31.70922887219261,30.0,68,3.45,0
35580,부안군,전북,군,True,118,I,48.95921368200813,26.00054878407163,38.28029092256735,55.7110736412475,39.99730444929549,65.51769760829143,21.50885114805589,32.73809523809524,65.8902927762108,60.0,68,13.88,6
21060,동래구,부산,구,False,119,I,45.9840637778532,28.570086523607635,51.8815331010453,34.928590182942806,38.46006993586525,65.46803804693864,28.96601722188574,27.97619047619048,28.36710416030062,30.0,60,2.24,0
35560,순창군,전북,군,True,120,I,47.897146144520846,17.22331048062597,38.28029092256735,59.95350880374513,38.485703402312815,64.53713033005239,21.9594857216782,10.11904761904762,91.34490375119654,60.0,30,11.54,5
35310,완주군,전북,군,True,121,I,52.36044181894825,23.888867172794097,41.93245778611632,56.31329633655493,40.71154043182179,64.53131952234766,29.100492907037776,16.071428571428573,62.96159594855062,60.0,40,4.17,7
36600,해남군,전남,군,True,122,I,54.02827882906752,32.70777451862708,39.17314806542449,52.18043958091523,41.35378738832227,64.33964797378852,23.95740197548959,45.83333333333333,74.2439329544006,60.0,90,14.29,12
35020,군산시,전북,시,True,123,I,58.00457701147382,49.39189766945516,35.36585365853658,45.00414761860069,43.25396631553081,64.2516778097939,27.557924687187167,82.14285714285714,53.38645172695924,60.0,151,5.94,0
22070,달서구,대구,구,False,124,I,50.70515581340461,39.982886300432064,49.035111230233184,28.6651371245207,39.227711551728646,63.87513364502634,30.130207326116924,54.761904761904766,22.68581721820183,25.0,105,2.02,0
36370,화순군,전남,군,True,125,I,64.69317221519962,52.87854868361143,36.72775395336371,48.74818070779384,46.11816111492299,63.77157500732318,36.54361288538412,77.38095238095238,67.3340795605493,60.0,143,23.83,84
22020,동구,대구,구,False,126,I,51.267526236442464,40.18186978903316,50.02010184937014,27.72720633977984,39.309725992727714,63.67596287450648,31.65232266426161,52.97619047619048,28.860635922645947,25.0,102,3.06,0
38560,하동군,경남,군,True,127,IV,46.55085814266714,25.781188082065807,43.6374337797102,41.39596052146806,36.93819412774803,63.66276505641446,24.714678549474755,27.380952380952383,48.67977698869996,25.0,59,14.39,22
35540,장수군,전북,군,True,128,IV,47.25007006562934,16.526512792107788,38.28029092256735,56.6870826067472,37.16462877380744,63.53959374099277,20.79815624081457,10.11904761904762,71.74634656920901,60.0,30,14.29,2
